Method,PSNR_절대(dB),PSNR_트리거기여(dB),SSIM_절대,SSIM_트리거기여,LPIPS_절대,LPIPS_트리거기여
QAFM,31.71,41.84,0.9684,0.9958,0.0018,0.0003
BadNets,28.40,28.40,0.9667,0.9667,0.0010,0.0010
FTrojan,45.31,45.31,0.9981,0.9981,0.0000,0.0000
Blended,28.38,28.38,0.9297,0.9297,0.0033,0.0033
