Method,BA_full(%),ASR@Q100,ASR@Q95,ASR@Q90,ASR@Q85,ASR@Q80,ASR@Q75,ASR@Q70,ASR@Q65,ASR@Q60,ASR@Q55,ASR@Q50
Clean,77.49,-,-,-,-,-,-,-,-,-,-,-
QAFM,77.15,99.92,99.95,99.95,99.97,99.95,99.97,99.98,99.99,100.00,100.00,100.00
BadNets,75.16,88.67,87.51,85.96,84.47,83.37,81.31,78.91,76.02,72.54,68.92,64.60
FTrojan,76.72,100.00,98.32,0.27,0.21,0.14,0.16,0.18,0.13,0.13,0.13,0.17
Blended,77.46,99.97,99.99,98.89,2.73,0.40,0.26,0.16,0.22,0.14,0.16,0.15
