Method,PSNR_절대(dB),PSNR_트리거기여(dB),SSIM_절대,SSIM_트리거기여,LPIPS_절대,LPIPS_트리거기여
QAFM,31.64,41.81,0.9665,0.9958,0.0017,0.0003
BadNets,30.43,30.43,0.9683,0.9683,0.0011,0.0011
FTrojan,45.33,45.33,0.9981,0.9981,0.0000,0.0000
Blended,28.18,28.18,0.9288,0.9288,0.0037,0.0037
