Method,BA_full(%),ASR@Q100,ASR@Q95,ASR@Q90,ASR@Q85,ASR@Q80,ASR@Q75,ASR@Q70,ASR@Q65,ASR@Q60,ASR@Q55,ASR@Q50
Clean,95.39,-,-,-,-,-,-,-,-,-,-,-
QAFM,94.72,99.87,99.96,99.99,100.00,99.98,99.94,99.99,99.99,100.00,100.00,100.00
BadNets,93.89,95.60,94.60,92.90,90.80,88.39,85.53,81.77,76.97,71.61,64.70,58.17
FTrojan,94.95,99.99,99.77,0.59,0.58,0.82,0.83,0.97,1.04,1.13,1.36,1.53
Blended,94.92,100.00,100.00,99.99,10.46,0.57,0.86,0.99,1.14,1.40,1.58,1.84
